,,,,,,
,1,LeBron James,"142,905,372",,,
,2,Stephen Curry,"48,751,410",,,
,3,Russell Westbrook,"21,450,446",,,
,4,Kyrie Irving,"18,217,477",,,
,5,Lonzo Ball,"15,908,295",,,
,6,Klay Thompson,"14,394,145",,,
,7,Giannis Antetokounmpo,"14,141,476",,,
,8,Chris Paul,"11,576,841",,,
,9,Paul George,"9,850,706",,,
,10,Damian Lillard,"9,630,651",,,
,11,LaMelo Ball,"9,550,694",,,
,12,Ja Morant,"8,687,868",,,
,13,Luka Doncic,"7,935,773",,,
,14,Carmelo Anthony,"7,912,474",,,
,15,Jimmy Butler,"7,820,934",,,
,16,Markelle Fultz,"7,385,172",,,
,17,Anthony Davis,"7,199,730",,,
,18,Ben Simmons,"6,878,452",,,
,19,Joel Embiid,"6,423,265",,,
,20,Jayson Tatum,"5,580,687",,,
,21,Devin Booker,"5,471,209",,,
,22,Zion Williamson,"5,370,233",,,
,23,Kyle Kuzma,"4,919,829",,,
,24,Trae Young,"4,907,061",,,
,25,John Wall,"4,573,992",,,
,26,Draymond Green,"4,051,717",,,
,27,Karl-Anthony Towns,"4,000,628",,,
,28,Tristan Thompson,"3,806,780",,,
,29,Donovan Mitchell,"3,694,191",,,
,30,D'Angelo Russell,"3,615,828",,,
,31,Kevin Love,"3,355,178",,,
,32,DeMar DeRozan,"3,308,567",,,
,33,Dwight Howard,"3,287,796",,,
,34,Zach LaVine,"2,537,647",,,
,35,Jalen Green,"2,421,238",,,
,36,Tyler Herro,"2,290,543",,,
,37,Dennis Schroder,"2,215,002",,,
,38,Brandon Ingram,"2,210,648",,,
,39,Andrew Wiggins,"2,192,763",,,
,40,Seth Curry,"2,123,077",,,
,41,Jordan Poole,"1,890,030",,,
,42,DeAndre Jordan,"1,887,957",,,
,43,Jordan Clarkson,"1,867,637",,,
,44,Andre Iguodala,"1,790,708",,,
,45,Kelly Oubre Jr.,"1,712,906",,,
,46,JaVale McGee,"1,678,313",,,
,47,Alex Caruso,"1,599,527",,,
,48,Kyle Lowry,"1,503,291",,,
,49,Kristaps Porzingis,"1,500,639",,,
,50,Victor Oladipo,"1,466,673",,,
,51,Cedi Osman,"1,464,887",,,
,52,Bradley Beal,"1,380,172",,,
,53,C.J. McCollum,"1,359,440",,,
,54,Shai Gilgeous-Alexander,"1,353,803",,,
,55,Andre Drummond,"1,348,685",,,
,56,Kemba Walker,"1,316,970",,,
,57,Thanasis Antetokounmpo,"1,294,171",,,
,58,De'Aaron Fox,"1,286,569",,,
,59,Rajon Rondo,"1,281,283",,,
,60,Anthony Edwards,"1,280,858",,,
,61,Danny Green,"1,222,408",,,
,62,Serge Ibaka,"1,206,489",,,
,63,Dejounte Murray,"1,187,324",,,
,64,Gordon Hayward,"1,186,335",,,
,65,Lou Williams,"1,174,514",,,
,66,R.J. Barrett,"1,170,377",,,
,67,Alize Johnson,"1,009,857",,,
,68,Marvin Bagley III,"1,008,232",,,
,69,Bol Bol,"1,007,026",,,
,70,Jamal Murray,"1,006,998",,,
,71,Harrison Barnes,"987,167",,,
,72,Boban Marjanovic,"957,749",,,
,73,Julius Randle,"906,134",,,
,74,Kentavious Caldwell-Pope,"885,396",,,
,75,Sharife Cooper,"864,340",,,
,76,Bam Adebayo,"842,054",,,
,77,Rudy Gobert,"837,137",,,
,78,Paolo Banchero,"833,399",,,
,79,Mac McClung,"826,572",,,
,80,Josh Christopher,"825,843",,,
,81,P.J. Washington,"800,000",,,
,82,Marcus Smart,"791,704",,,
,83,Hassan Whiteside,"742,862",,,
,84,Juancho Hernangomez,"738,089",,,
,85,Rudy Gay,"718,026",,,
,86,Cole Anthony,"712,207",,,
,87,Fred VanVleet,"707,885",,,
,88,Mohamed Bamba,"702,197",,,
,89,Pascal Siakam,"684,517",,,
,90,Miles Bridges,"673,545",,,
,91,Al Horford,"666,478",,,
,92,Josh Hart,"656,106",,,
,93,Chet Holmgren,"653,418",,,
,94,Ricky Rubio,"632,806",,,
,95,James Wiseman,"621,415",,,
,96,Bogdan Bogdanovic,"615,702",,,
,97,Patrick Beverley,"613,281",,,
,98,Udonis Haslem,"602,677",,,
,99,Scottie Barnes,"592,137",,,
,100,Cade Cunningham,"589,753",,,
,101,Patty Mills,"581,862",,,
,102,Mike Conley,"565,453",,,
,103,Montrezl Harrell,"547,844",,,
,104,Kevin Porter Jr.,"547,709",,,
,105,Jrue Holiday,"547,437",,,
,106,Steven Adams,"544,818",,,
,107,Cam Reddish,"539,751",,,
,108,Justise Winslow,"539,109",,,
,109,Edmond Sumner,"532,267",,,
,110,Jalen Suggs,"531,038",,,
,111,Buddy Hield,"530,399",,,
,112,Tobias Harris,"523,028",,,
,113,R.J. Hampton,"518,160",,,
,114,Willie Cauley-Stein,"515,896",,,
,115,Tyrese Maxey,"506,249",,,
,116,Rui Hachimura,"504,635",,,
,117,Deandre Ayton,"497,430",,,
,118,Tim Hardaway Jr.,"492,949",,,
,119,Darius Garland,"482,882",,,
,120,Goran Dragic,"481,434",,,
,121,Jonathan Kuminga,"476,928",,,
,122,Scotty Pippen Jr.,"476,735",,,
,123,Marc Gasol,"475,539",,,
,124,Clint Capela,"472,338",,,
,125,Larry Nance Jr.,"449,613",,,
,126,Furkan Korkmaz,"445,760",,,
,127,Danilo Gallinari,"440,970",,,
,128,B.J. Boston Jr.,"434,081",,,
,129,Josh Giddey,"422,397",,,
,130,Derrick Jones,"421,708",,,
,131,Coby White,"415,773",,,
,132,Tyus Jones,"404,616",,,
,133,Khris Middleton,"404,522",,,
,134,Willy Hernangomez,"401,689",,,
,135,Matisse Thybulle,"388,562",,,
,136,Jaren Jackson Jr.,"388,083",,,
,137,Terrence Ross,"387,461",,,
