#,Market,homes_reached,Tm,NFL,MLB,NHL,team_shoe
6,Atlanta,2680,ATL,Falcons,Braves,no team,TRUE
1,New York City,7727,BKN,"Giants, Jets","Yankees, Mets","Rangers, Devils, Islanders",FALSE
9,Boston,2596,BOS,Patriots,Red Sox,Bruins,TRUE
21,Charlotte,1323,CHA,Panthers,no team,no team,TRUE
3,Chicago,3625,CHI,Bears,"Cubs, White Sox",Blackhawks,TRUE
19,"Cleveland-
Akron",1552,CLE,Browns,Guardians,no team,TRUE
5,Dallas-Ft. Worth,3042,DAL,Cowboys,Rangers,Stars,TRUE
16,Denver,1793,DEN,Broncos,Rockies,Avalanche,FALSE
14,Detroit,1937,DET,Lions,Tigers,Red Wings,FALSE
10,SF-Oakland-San Jose,2593,GSW,49ers,"Giants, A’s",Sharks,TRUE
7,Houston,2666,HOU,Texans,Astros,no team,TRUE
25,Indianapolis,1207,IND,Colts,no team,no team,TRUE
2,Los Angeles,5838,LAC,"Rams, Chargers","Dodgers, Angels","Kings, Ducks",FALSE
2,Los Angeles,5838,LAL,"Rams, Chargers","Dodgers, Angels","Kings, Ducks",FALSE
52,Memphis,644,MEM,no team,no team,no team,TRUE
18,"Miami-
Ft. Lauderdale",1721,MIA,Dolphins,Marlins,Panthers,FALSE
38,Milwaukee,900,MIL,Packers,Brewers,no team,TRUE
15,"Minneapolis-
St. Paul",1839,MIN,Vikings,Twins,Wild,FALSE
50,New Orleans,687,NOP,Saints,no team,no team,TRUE
1,New York City,7727,NYK,"Giants, Jets","Yankees, Mets","Rangers, Devils, Islanders",FALSE
46,"Oklahoma
City",743,OKC,no team,no team,no team,TRUE
17,Orlando-Daytona,1775,ORL,no team,no team,no team,FALSE
4,Philadelphia,3109,PHI,Eagles,Phillies,Flyers,TRUE
11,Phoenix,2139,PHX,Cardinals,D’Backs,Coyotes,FALSE
22,Portland,1293,POR,no team,no team,no team,TRUE
20,"Sacramento-
Stockton-
Modesto",1502,SAC,no team,no team,no team,FALSE
31,San Antonio,1060,SAS,no team,no team,no team,FALSE
29,Salt Lake City,1148,UTA,no team,no team,no team,TRUE
8,Washington D.C.,2617,WAS,Commanders,Nationals,Capitals,FALSE
